Country,Compensation currency,Compensation time period,Employment type,Work location,Contract type,Job family,Level,Department,Manager,Entity,Teams,Position ID
,,,,,,,,,,,,EE104501
,,,,,,,,,,,,EE105011
,,,,,,,,,,,,EE104885
,,,,,,,,,,,,EE106313
,,,,,,,,,,,,EE104794
,,,,,,,,,,,,EE106774
,,,,,,,,,,,,EE106435
,,,,,,,,,,,,EE105268
,,,,,,,,,,,,EE105618
,,,,,,,,,,,,EE104436
,,,,,,,,,,,,EE104938
,,,,,,,,,,,,EE106252
,,,,,,,,,,,,EE104507
,,,,,,,,,,,,EE104664
,,,,,,,,,,,,EE105433
,,,,,,,,,,,,EE104781
,,,,,,,,,,,,EE106096
,,,,,,,,,,,,EE105492
,,,,,,,,,,,,EE106201
,,,,,,,,,,,,EE106782
,,,,,,,,,,,,EE106507
,,,,,,,,,,,,EE105870
,,,,,,,,,,,,EE104006
,,,,,,,,,,,,EE106027
,,,,,,,,,,,,EE106105
,,,,,,,,,,,,EE106847
,,,,,,,,,,,,EE104291
,,,,,,,,,,,,EE104052
,,,,,,,,,,,,EE104176
,,,,,,,,,,,,EE104822
,,,,,,,,,,,,EE105717
,,,,,,,,,,,,EE106817
,,,,,,,,,,,,EE104862
,,,,,,,,,,,,EE104079
,,,,,,,,,,,,EE105176
,,,,,,,,,,,,EE105811
,,,,,,,,,,,,EE106670
,,,,,,,,,,,,EE105842
,,,,,,,,,,,,EE104737
,,,,,,,,,,,,EE104515
,,,,,,,,,,,,EE105747
,,,,,,,,,,,,EE106784
,,,,,,,,,,,,EE106424
,,,,,,,,,,,,EE106771
,,,,,,,,,,,,EE106854
,,,,,,,,,,,,EE106034
,,,,,,,,,,,,EE105905
,,,,,,,,,,,,EE104165
,,,,,,,,,,,,EE105630
,,,,,,,,,,,,EE105643
,,,,,,,,,,,,EE106706
,,,,,,,,,,,,EE106557
,,,,,,,,,,,,EE106580
,,,,,,,,,,,,EE106796
,,,,,,,,,,,,EE107051
,,,,,,,,,,,,ADHOC107294
,,,,,,,,,,,,EE105243
,,,,,,,,,,,,EE106620
,,,,,,,,,,,,EE106108
,,,,,,,,,,,,ADHOC107290
,,,,,,,,,,,,EE104021
,,,,,,,,,,,,EE104537
,,,,,,,,,,,,EE106654
,,,,,,,,,,,,EE104696
,,,,,,,,,,,,EE105989
,,,,,,,,,,,,EE104790
,,,,,,,,,,,,EE105294
,,,,,,,,,,,,EE105200
,,,,,,,,,,,,EE106699
,,,,,,,,,,,,EE106653
,,,,,,,,,,,,EE105463
,,,,,,,,,,,,EE105726
,,,,,,,,,,,,EE104161
,,,,,,,,,,,,EE104212
,,,,,,,,,,,,EE106361
,,,,,,,,,,,,EE105129
,,,,,,,,,,,,EE104732
,,,,,,,,,,,,ADHOC106927
,,,,,,,,,,,,EE104288
,,,,,,,,,,,,EE104680
,,,,,,,,,,,,PID107266
,,,,,,,,,,,,EE104185
,,,,,,,,,,,,EE106668
,,,,,,,,,,,,EE104663
,,,,,,,,,,,,EE106813
,,,,,,,,,,,,EE106036
,,,,,,,,,,,,EE106283
,,,,,,,,,,,,EE105073
,,,,,,,,,,,,EE106406
,,,,,,,,,,,,EE106341
,,,,,,,,,,,,EE104204
,,,,,,,,,,,,EE105642
,,,,,,,,,,,,EE105787
,,,,,,,,,,,,EE106562
,,,,,,,,,,,,EE104625
,,,,,,,,,,,,EE104018
,,,,,,,,,,,,EE105149
,,,,,,,,,,,,EE104080
,,,,,,,,,,,,EE105080
,,,,,,,,,,,,EE105551
,,,,,,,,,,,,EE105773
,,,,,,,,,,,,ADHOC106997
,,,,,,,,,,,,EE105092
,,,,,,,,,,,,EE105807
,,,,,,,,,,,,EE104621
,,,,,,,,,,,,EE104516
,,,,,,,,,,,,EE105095
,,,,,,,,,,,,EE104012
,,,,,,,,,,,,EE106452
,,,,,,,,,,,,ADHOC107149
,,,,,,,,,,,,EE106716
,,,,,,,,,,,,ADHOC106994
,,,,,,,,,,,,EE106251
,,,,,,,,,,,,EE104385
,,,,,,,,,,,,EE106485
,,,,,,,,,,,,EE104423
,,,,,,,,,,,,EE105632
,,,,,,,,,,,,EE105347
,,,,,,,,,,,,EE106469
,,,,,,,,,,,,EE103979
,,,,,,,,,,,,EE106176
,,,,,,,,,,,,EE104969
,,,,,,,,,,,,EE104655
,,,,,,,,,,,,EE104360
,,,,,,,,,,,,EE104970
,,,,,,,,,,,,EE104567
,,,,,,,,,,,,EE104022
,,,,,,,,,,,,EE104214
,,,,,,,,,,,,EE104636
,,,,,,,,,,,,EE104617
,,,,,,,,,,,,ADHOC107283
,,,,,,,,,,,,EE106518
,,,,,,,,,,,,EE105271
,,,,,,,,,,,,ADHOC107107
,,,,,,,,,,,,EE104085
,,,,,,,,,,,,EE106575
,,,,,,,,,,,,EE106280
,,,,,,,,,,,,EE106623
,,,,,,,,,,,,ADHOC107038
,,,,,,,,,,,,EE105389
,,,,,,,,,,,,EE104264
,,,,,,,,,,,,EE103992
,,,,,,,,,,,,EE105118
,,,,,,,,,,,,EE105931
,,,,,,,,,,,,EE106856
,,,,,,,,,,,,EE104618
,,,,,,,,,,,,ADHOC107144
,,,,,,,,,,,,EE105194
,,,,,,,,,,,,EE105248
,,,,,,,,,,,,EE104945
,,,,,,,,,,,,EE106087
,,,,,,,,,,,,EE106868
,,,,,,,,,,,,EE105804
,,,,,,,,,,,,EE104886
,,,,,,,,,,,,EE106573
,,,,,,,,,,,,EE105220
,,,,,,,,,,,,EE104502
,,,,,,,,,,,,EE107132
,,,,,,,,,,,,EE105224
,,,,,,,,,,,,EE105563
,,,,,,,,,,,,EE104340
,,,,,,,,,,,,EE106353
,,,,,,,,,,,,EE104078
,,,,,,,,,,,,ADHOC107236
,,,,,,,,,,,,EE104939
,,,,,,,,,,,,EE105932
,,,,,,,,,,,,EE104248
,,,,,,,,,,,,EE106693
,,,,,,,,,,,,EE104681
,,,,,,,,,,,,EE104738
,,,,,,,,,,,,EE105150
,,,,,,,,,,,,EE104380
,,,,,,,,,,,,EE105917
,,,,,,,,,,,,EE106078
,,,,,,,,,,,,EE106155
,,,,,,,,,,,,EE105160
,,,,,,,,,,,,EE106103
,,,,,,,,,,,,EE105086
,,,,,,,,,,,,EE106167
,,,,,,,,,,,,EE106741
,,,,,,,,,,,,EE105376
,,,,,,,,,,,,EE104211
,,,,,,,,,,,,ADHOC107256
,,,,,,,,,,,,EE104579
,,,,,,,,,,,,EE105440
,,,,,,,,,,,,EE105306
,,,,,,,,,,,,EE104173
,,,,,,,,,,,,EE105832
,,,,,,,,,,,,EE104010
,,,,,,,,,,,,EE105370
,,,,,,,,,,,,EE104700
,,,,,,,,,,,,ADHOC107226
,,,,,,,,,,,,EE106066
,,,,,,,,,,,,ADHOC107074
,,,,,,,,,,,,EE106425
,,,,,,,,,,,,EE105553
,,,,,,,,,,,,EE106199
,,,,,,,,,,,,EE106376
,,,,,,,,,,,,EE106696
,,,,,,,,,,,,EE106742
,,,,,,,,,,,,EE104666
,,,,,,,,,,,,ADHOC106941
,,,,,,,,,,,,EE105592
,,,,,,,,,,,,EE106016
,,,,,,,,,,,,EE104226
,,,,,,,,,,,,EE104147
,,,,,,,,,,,,EE104162
,,,,,,,,,,,,EE105229
,,,,,,,,,,,,EE104954
,,,,,,,,,,,,PID106900
,,,,,,,,,,,,EE105015
,,,,,,,,,,,,EE105292
,,,,,,,,,,,,EE106567
,,,,,,,,,,,,EE104742
,,,,,,,,,,,,EE106205
,,,,,,,,,,,,EE104922
,,,,,,,,,,,,EE105528
,,,,,,,,,,,,EE104674
,,,,,,,,,,,,EE106061
,,,,,,,,,,,,EE105926
,,,,,,,,,,,,EE104081
,,,,,,,,,,,,EE106535
,,,,,,,,,,,,EE104451
,,,,,,,,,,,,EE106505
,,,,,,,,,,,,EE106825
,,,,,,,,,,,,EE103994
,,,,,,,,,,,,EE104129
,,,,,,,,,,,,EE106362
,,,,,,,,,,,,ADHOC107276
,,,,,,,,,,,,EE105431
,,,,,,,,,,,,EE105215
,,,,,,,,,,,,EE105304
,,,,,,,,,,,,EE106853
,,,,,,,,,,,,EE104479
,,,,,,,,,,,,EE106491
,,,,,,,,,,,,EE104545
,,,,,,,,,,,,EE104483
,,,,,,,,,,,,EE105476
,,,,,,,,,,,,EE104397
,,,,,,,,,,,,EE106242
,,,,,,,,,,,,EE106880
,,,,,,,,,,,,EE106882
,,,,,,,,,,,,EE105236
,,,,,,,,,,,,EE105008
,,,,,,,,,,,,EE105327
,,,,,,,,,,,,EE106411
,,,,,,,,,,,,EE104433
,,,,,,,,,,,,EE106202
,,,,,,,,,,,,EE104616
,,,,,,,,,,,,EE105568
,,,,,,,,,,,,EE104126
,,,,,,,,,,,,EE104244
,,,,,,,,,,,,EE106151
,,,,,,,,,,,,EE106639
,,,,,,,,,,,,EE104531
,,,,,,,,,,,,EE104472
,,,,,,,,,,,,EE105213
,,,,,,,,,,,,EE105443
,,,,,,,,,,,,EE104490
,,,,,,,,,,,,ADHOC107146
,,,,,,,,,,,,EE104350
,,,,,,,,,,,,EE107045
,,,,,,,,,,,,EE104747
,,,,,,,,,,,,EE105536
,,,,,,,,,,,,EE105399
,,,,,,,,,,,,EE105296
,,,,,,,,,,,,EE105525
,,,,,,,,,,,,EE105723
,,,,,,,,,,,,EE105146
,,,,,,,,,,,,PID106898
,,,,,,,,,,,,ADHOC106939
,,,,,,,,,,,,ADHOC107293
,,,,,,,,,,,,EE104849
,,,,,,,,,,,,EE105837
,,,,,,,,,,,,ADHOC107005
,,,,,,,,,,,,EE106582
,,,,,,,,,,,,EE105262
,,,,,,,,,,,,EE105423
,,,,,,,,,,,,EE104125
,,,,,,,,,,,,EE104355
,,,,,,,,,,,,EE104589
,,,,,,,,,,,,ADHOC107298
,,,,,,,,,,,,EE106324
,,,,,,,,,,,,EE104964
,,,,,,,,,,,,ADHOC106957
,,,,,,,,,,,,EE106358
,,,,,,,,,,,,EE104533
,,,,,,,,,,,,EE104188
,,,,,,,,,,,,EE106385
,,,,,,,,,,,,ADHOC107254
,,,,,,,,,,,,EE106356
,,,,,,,,,,,,EE104443
,,,,,,,,,,,,EE106082
,,,,,,,,,,,,EE106489
,,,,,,,,,,,,EE105667
,,,,,,,,,,,,EE106279
,,,,,,,,,,,,EE106757
,,,,,,,,,,,,ADHOC107297
,,,,,,,,,,,,EE105066
,,,,,,,,,,,,EE104662
,,,,,,,,,,,,EE104871
,,,,,,,,,,,,EE105909
,,,,,,,,,,,,EE106566
,,,,,,,,,,,,EE106816
,,,,,,,,,,,,ADHOC107111
,,,,,,,,,,,,EE104474
,,,,,,,,,,,,EE106278
,,,,,,,,,,,,ADHOC107301
,,,,,,,,,,,,EE105059
,,,,,,,,,,,,EE105843
,,,,,,,,,,,,EE105688
,,,,,,,,,,,,EE105257
,,,,,,,,,,,,EE105127
,,,,,,,,,,,,EE106608
,,,,,,,,,,,,ADHOC107247
